prompt,response,clauses_text_final,voice,idx,abstraction_score_normalized,reading_ease_normalized,grading_level_normalized
What gets me into trouble is,"My intellect. My mind is ultra fast and If im not fully in my center, I sometimes jap out something stupid. Because I easily see peoples struggle I can also easily hurt them.. Its a defence programme.  It hasn't come up for a while now and I assume I got the better of it. There are many other things that will get me in trouble if I dont attend to my inner self in the for of my spiritual practice","['My intellect', 'My mind is ultra fast and', 'If i m not fully in my center', 'I sometimes jap out something stupid', 'Because I easily see', 'peoples struggle', 'I can also easily hurt them', 'It hasn t come up for a while now', 'and I assume', 'I got the better of it', 'There are many other things', 'that will get me in trouble', 'if I dont attend to my inner self in the for of my spiritual practice']","['Undefined', 'A_pron_x', 'A_pron_x', 'A_def', 'A_def', 'A_def', 'P_bevb_x', 'P_bevb_x', 'P_bevb_x', 'A_def', 'A_def', 'P_bevb_x', 'P_bevb_x', 'A_pron_x']",257,"[1.0, 0.56, 1.0, 0.88, 1.0, 0.48, 1.0, 1.0, 0.88, 0.88, 0.56, 0.56, 1.0]","[0.25, 0.06, 0.08, 0.1, 0.2, 0.25, 0.14, 0.02, 0.09, 0.06, 0.06, 0.06, 0.14]","[0.26, 0.08, 0.12, 0.12, 0.21, 0.26, 0.17, 0.07, 0.1, 0.08, 0.08, 0.08, 0.22]"
We could make the world a better place if,"could spread love and compassion to all, bring happiness to everyone we meet. If everyone would show a little respect and take responsibilities for there actions.","['could spread love and compassion', 'to all bring happiness to everyone', 'we meet', 'If everyone would show a little respect and', 'take responsibilities for there actions']","['P_bevb_x', 'A_def', 'A_def', 'P_bevb_x', 'A_def']",258,"[1.0, 0.56, 0.44, 1.0, 1.0]","[0.11, 0.18, 0.0, 0.15, 0.31]","[0.13, 0.21, 0.01, 0.18, 0.33]"
Love changes when,"First, when there is a connection/oneness that unites consciousness, heart and body so that the localized and the infinite are experienced simultaneously. And second, when one feels the ability to shift the cosmic flow of life and love and direct some of its healing power where it is needed, either within the deepest essence of a loved one, a person in need, toward a global tragedy, or a world view or meme that is doing harm. ","['when there is a connection oneness', 'that unites consciousness heart and body', 'the localized and the infinite', 'so that are experienced simultaneously', 'And second when one feels the ability', 'to shift the cosmic flow of life and love and', 'direct some of its healing power', 'where it is needed either within the deepest essence of a loved one a person in need toward a global tragedy or a world view or meme', 'that is doing harm']","['P_bevb_x', 'A_def', 'A_def', 'P_bevb_x', 'A_def', 'A_def', 'A_pron_x', 'P_bevb_x', 'A_def', 'P_bevb_x']",259,"[1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 0.56]","[0.14, 0.1, 0.21, 0.41, 0.13, 0.05, 0.14, 0.14, 0.07]","[0.17, 0.12, 0.23, 0.43, 0.16, 0.1, 0.17, 0.28, 0.09]"
"These days, work","from the perspective of the individual, is to reach beyond the confines of the mind, heart and body and use them to sense oneness with the gross, subtle and causal. From the perspective of the one, work is to sense through the specific circumstances of the individual to see where healing is required in the ever-present now and as mentioned above to apply to that location the energy of love and life.","['the perspective of the individual', 'is to reach beyond the confines of the mind heart and body and', 'use them to sense oneness with the gross subtle and causal From the perspective of the one work', 'is to sense through the specific circumstances of the individual', 'to see', 'where healing is required in the ever present now and', 'as mentioned above', 'to apply to that location the energy of love and life']","['Undefined', 'P_bevb_x', 'A_def', 'A_def', 'A_def', 'P_bevb_x', 'A_def', 'A_def', 'P_bevb_x', 'A_def', 'A_def']",260,"[1.0, 1.0, 1.0, 1.0, 0.44, 0.56, 0.56, 1.0]","[0.31, 0.07, 0.11, 0.23, 0.0, 0.1, 0.09, 0.14]","[0.33, 0.14, 0.2, 0.27, 0.01, 0.15, 0.1, 0.2]"
Sometimes I wish that,"we could all see that we want the same thing. We want it in different ways, which is just fine. But that so much of the fundamentals of the beauty we want to see in the world are the same. And love. That we would freely follow love in every part of life and develop our families, societies, businesses, countries, etc., and just go where love leads.","['we could all see', 'that we want the same thing', 'We want it in different ways', 'which is just fine', 'we want to see in the world', 'But that so much of the fundamentals of the beauty are the same', 'That we would freely follow love in every part of life and', 'develop our families societies businesses countries etc and', 'just go', 'where love leads']","['P_bevb_x', 'A_def', 'A_def', 'P_bevb_x', 'A_def', 'A_def', 'P_bevb_x', 'P_bevb_x', 'A_pron_x', 'A_def', 'A_def']",261,"[1.0, 0.56, 0.56, 1.0, 0.56, 1.0, 0.56, 1.0, 0.48, 0.56]","[0.01, 0.01, 0.1, 0.01, 0.02, 0.11, 0.07, 0.3, 0.0, 0.01]","[0.02, 0.04, 0.12, 0.02, 0.05, 0.18, 0.13, 0.34, 0.01, 0.02]"
Women are lucky because,Women are lucky because they seem to inherent greater ability to empathize with and nurture others.,"['Women are lucky', 'because they seem to inherent greater ability', 'to empathize with and', 'nurture others']","['P_bevb_x', 'A_def', 'A_def', 'A_def']",262,"[1.0, 1.0, 0.56, 0.56]","[0.09, 0.2, 0.07, 0.25]","[0.1, 0.23, 0.09, 0.26]"
When I am criticized,"I may experience at first a little sting inside, especially if it comes from a person who is coming from a comparison/competitive mindset and might be doing it to feel better about him/herself. I tend to look for what I can learn from the criticism by asking questions about the specific context or what I might have been unaware of at that moment","['I may experience at first a little sting inside', 'especially if it comes from a person', 'who is coming from a comparison competitive mindset and', 'might be doing it', 'to feel better about him herself', 'I tend to look for', 'what I can learn from the criticism by', 'asking questions about the specific context or', 'I might have been unaware of what at that moment']","['P_bevb_x', 'A_def', 'P_bevb_x', 'P_bevb_x', 'P_get_x', 'A_def', 'A_def', 'P_bevb_x', 'A_def', 'P_bevb_x']",263,"[1.0, 1.0, 1.0, 0.56, 0.56, 0.88, 1.0, 1.0, 0.88]","[0.16, 0.16, 0.25, 0.07, 0.1, 0.01, 0.08, 0.2, 0.08]","[0.21, 0.19, 0.29, 0.09, 0.12, 0.03, 0.12, 0.23, 0.12]"
The past,"...is only a thought, and has no existence outside of thought (as with 'future'). Past is an arising manifestation of thought, alongside other arising manifestation such as 'hot' in relation to 'touch'. It appears 'now', in the eternal moment, and cannot appear anywhere else. It has no substantiality, like all other thoughts, and is purely empty, no-core, ethereal, non-arising, but nevertheless is vividly luminous. It is one of the manifestations of thought which thought then clings to, causing suffering to the 'apparent' self","['is only a thought and', 'has no existence outside of thought as with future Past', 'is an arising manifestation of thought alongside other arising manifestation such as hot in relation', 'to touch', 'It appears now in the eternal moment and', 'can not appear anywhere else', 'It has no substantiality like all other thoughts and but', 'is purely empty no core ethereal non arising', 'nevertheless is vividly luminous', 'It is one of the manifestations of thought', 'which thought then clings to', 'causing suffering to the apparent self']","['P_bevb_x', 'P_bevb_x', 'P_bevb_x', 'A_def', 'A_def', 'P_bevb_x', 'P_bevb_x', 'P_bevb_x', 'P_bevb_x', 'P_bevb_x', 'A_def', 'A_def', 'A_def']",264,"[0.56, 1.0, 1.0, 1.0, 0.88, 1.0, 0.88, 1.0, 0.56, 0.88, 1.0, 1.0]","[0.06, 0.13, 0.28, 0.0, 0.11, 0.11, 0.15, 0.18, 0.38, 0.15, 0.01, 0.22]","[0.08, 0.17, 0.35, 0.01, 0.15, 0.13, 0.2, 0.21, 0.4, 0.18, 0.03, 0.25]"
Business and society,"...are linked very closely. The 'business' of Grace appears to be to manifest in increasingly complex and coherence forms in a play of evolutionary phenomena. The 'society' of Grace is so fundamentally pure, the individual nor collective cannot be found in its unmanifest form, and in its manifest form the 'society' is all that has every and will ever manifest in the eternal moment. The collective human consciousness collapse (Note I'm not reifying One cosmic Mind here) of Grace is one such 'society' which again has the 'business' of this evolutionary condition - i.e. the 'business' of humanity is manifesting this evolution in the moment, towards experiential unity. Although I note it is not possible to isolate 'human consciousness' from the manifest texture of Grace, it is all manifest together","['are linked very closely', 'The business of Grace appears to be to manifest in increasingly complex and coherence forms in a play of evolutionary phenomena', 'The society of Grace is so fundamentally pure', 'the individual nor collective can not be found in its unmanifest form and in its manifest form', 'the society is all', 'that has every and', 'will ever manifest in the eternal moment', 'I m not reifying One cosmic Mind here of Grace', 'is one such society', 'which again has the business of this evolutionary condition', 'i e the business of humanity is manifesting this evolution in the moment towards experiential unity', 'Although I note', 'it is not possible to isolate human consciousness from the manifest texture of Grace', 'it is all manifest together']","['P_bevb_x', 'P_bevb_x', 'P_bevb_x', 'A_def', 'P_bevb_x', 'A_pron_x', 'P_bevb_x', 'P_bevb_x', 'P_bevb_x', 'A_def', 'A_def', 'P_bevb_x', 'P_bevb_x', 'P_bevb_x', 'A_def', 'P_bevb_x', 'A_def', 'P_bevb_x']",265,"[1.0, 1.0, 1.0, 1.0, 1.0, 0.56, 0.56, 1.0, 1.0, 1.0, 0.56, 0.88, 1.0, 0.56]","[0.07, 0.25, 0.21, 0.21, 0.13, 0.07, 0.2, 0.08, 0.13, 0.19, 0.29, 0.09, 0.2, 0.21]","[0.09, 0.36, 0.25, 0.29, 0.15, 0.09, 0.23, 0.12, 0.15, 0.23, 0.37, 0.1, 0.27, 0.23]"
My father,"...is desire, as without any desire there cannot be any manifestation in any form","['is desire as without any desire', 'there can not be any manifestation in any form']","['P_bevb_x', 'P_bevb_x']",266,"[0.56, 1.0]","[0.14, 0.14]","[0.17, 0.18]"
Sometimes I wish that,I was born in the future.,['I was born in the future'],['P_bevb_x'],267,[0.88],[0.06],[0.08]
Change is,"a natural dynamic, built into the evolutionary energy/matter/information explosion that has travelled in ever-complexifying waves outward from the Big Bang birth of our Kosmos to our daily bio-psycho-cultural-systems experience.","['a natural dynamic', 'built into the evolutionary energy matter information explosion', 'that has travelled in waves outward from the Big Bang birth of our Kosmos to our daily bio psycho cultural systems experience', 'ever complexifying']","['Undefined', 'A_def', 'A_pron_x', 'A_def']",268,"[1.0, 0.56, 1.0, 1.0]","[0.34, 0.4, 0.19, 0.63]","[0.35, 0.43, 0.3, 0.63]"
A partner has the right to," depend 105% on the other partner(s) (assuming they are equally yoked).

","['depend 105 on the other partner s', 'they are equally yoked']","['A_def', 'P_bevb_x']",269,"[0.88, 0.56]","[0.13, 0.07]","[0.16, 0.09]"
When I am criticized,"I can feel hurt but have learned that ""criticism"" is my perception from my life experience where at an early age, I was constantly criticized and shamed. As an adult, I endeavour to treat criticism as a constructive tool of feedback and improvement where necessary.","['I can feel hurt but', 'have learned', 'that criticism is my perception from my life experience', 'where at an early age I was constantly criticized and', 'shamed As an adult where necessary', 'I endeavour to treat criticism as a constructive tool of feedback and improvement']","['P_bevb_x', 'P_get_x', 'P_bevb_x', 'A_pron_x', 'P_bevb_x', 'A_def', 'A_def', 'A_def']",270,"[1.0, 0.56, 1.0, 1.0, 1.0, 1.0]","[0.01, 0.0, 0.22, 0.15, 0.1, 0.21]","[0.03, 0.01, 0.26, 0.2, 0.12, 0.27]"
"These days, work","Is something I continue to enjoy and take great pleasure in using it as a framework within which to continue my journey of discovery and fulfilment. Work is not separate to life. Work is part of living, of serving, of being useful. Indeed, one could call work - play. There is no separation. Whether I receive the appropriate value recognition or remuneration for my ""job"" is my judgement. Voluntary work, while unpaid, is the most rewarding, I find.","['something', 'I continue to enjoy and', 'take great pleasure in', 'using it as a framework', 'within which to continue my journey of discovery and fulfilment Work', 'is not separate to life Work', 'is part of living of', 'serving of', 'being useful', 'Indeed one could call work play', 'There is no separation', 'Whether I receive the appropriate value recognition or remuneration for my job', 'is my judgement Voluntary work', 'while unpaid is the most rewarding', 'I find']","['Undefined', 'A_def', 'A_def', 'A_def', 'A_def', 'A_pron_x', 'A_def', 'P_bevb_x', 'P_bevb_x', 'A_def', 'P_bevb_x', 'P_bevb_x', 'P_bevb_x', 'A_pron_x', 'A_pron_x', 'P_bevb_x', 'A_def']",271,"[0.56, 1.0, 0.56, 0.56, 1.0, 0.56, 0.56, 0.56, 0.56, 1.0, 0.56, 1.0, 0.56, 0.56, 0.88]","[0.25, 0.16, 0.07, 0.11, 0.21, 0.1, 0.06, 0.13, 0.25, 0.06, 0.2, 0.26, 0.16, 0.14, 0.0]","[0.25, 0.18, 0.09, 0.13, 0.26, 0.12, 0.08, 0.13, 0.26, 0.08, 0.21, 0.32, 0.18, 0.17, 0.01]"
At times I worry about,never finding anything I am passionate about.,"['never finding anything', 'I am passionate about']","['A_def', 'P_bevb_x']",272,"[0.56, 0.88]","[0.26, 0.13]","[0.27, 0.15]"
Children and parents are lucky when,then you're lucky!!,['then you re lucky'],['P_get_x'],273,[1.0],[0.01],[0.02]
What I like to do best is,play and eat sugar.,"['play and', 'eat sugar']","['A_def', 'A_def']",274,"[0.56, 0.48]","[0.0, 0.13]","[0.01, 0.13]"
A good child,never gets in trouble.,['never gets in trouble'],['A_def'],275,[0.56],[0.13],[0.15]
A parent has the right to,hurt because my mom says she can do anything,"['hurt', 'because my mom says', 'she can do anything']","['A_def', 'A_pron_x', 'P_bevb_x']",276,"[0.56, 1.0, 1.0]","[0.0, 0.07, 0.07]","[0.0, 0.09, 0.09]"
When I am nervous,I've never been nervous...,['I ve never been nervous'],['P_bevb_x'],277,[0.88],[0.11],[0.13]
"These days, school",really hard.,['hard'],['Undefined'],278,[0.56],[0.0],[0.0]
My father,likes dong work (and playing on his phone),"['likes dong work and', 'playing on his phone']","['A_def', 'A_pron_x']",279,"[0.56, 0.56]","[0.01, 0.07]","[0.02, 0.09]"
A child has the right to,play.,['play'],['A_def'],280,[0.0],[0.0],[0.0]
I am,Josh,['Josh'],['Undefined'],281,[0.56],[0.0],[0.0]
If I had more money,I would be happy,['I would be happy'],['P_bevb_x'],282,[0.88],[0.07],[0.09]
Children and parents are lucky when,when they go to special places.,['when they go to special places'],['A_def'],283,[1.0],[0.06],[0.08]
