response,clauses_text_final,final_score,final_voice
I am. I am. A momentary breath of God expressed on existence.,"['I am', 'I am A momentary breath of God', 'expressed on existence']",0.34,P_bevb_x
"I can have a range of responses depending upon how tired or resourceful I am or how closely what amnd how they say it matches a previous wound trigger.  I can react defensively or just ask why they say that or as I often do ask them to ""say more"" so that I can more completely understand what they are saying so that I can fully understand their point of view, the context from which they formulated their thought and learn from it.","['I can have a range of responses', 'depending upon', 'how tired or resourceful I am or how closely what amnd', 'how they say', 'it matches a previous wound trigger', 'I can react defensively or', 'just ask', 'why they say that', 'or as I often do ask them to say', 'more so that I can more completely understand', 'what they are saying', 'so that I can fully understand their point of view the context', 'from which they formulated their thought and', 'learn from it']",0.34,A_def
"being in my head rather than fully present and instead running trauma patterns habits/beliefs of being a victim, feeling I need to please others and abandon myself and then be angry when not cared for by others. The other main problem is not fitting in to the ""popular Culture"" world as I am often ""too deep"" seeing metaphorical symbolism and duplicity/inauthenticity all around me and wanting to serve and be one with spirit rather then pursuing material things.","['being in my head rather than fully present and trauma patterns habits beliefs of', 'instead running', 'being a victim feeling', 'I need to please others and', 'abandon myself and', 'then be angry', 'when not cared for by others', 'The other main problem is not fitting in to the popular Culture world', 'as I am often too deep seeing metaphorical symbolism and duplicity inauthenticity all around me and', 'wanting to serve and', 'be one with spirit', 'rather then pursuing material things']",0.23,P_bevb_x
a fluid dynamic flow that is malleable in its motion and sacred in its stillness.,"['a fluid dynamic flow', 'that is malleable in its motion and sacred in its stillness']",0.28,Undefined
"fosters the creativity of the team, both individually and collectively.",['fosters the creativity of the team both individually and collectively'],0.29,A_def
"I can embody my personality and feel a pang contrast to the story I tell myself inside the story we tell ourselves of what we think in the moment to be an absolute before it falls away into a deeper, clearer calm of letting go.","['I can embody my personality and', 'feel a pang contrast to the story go', 'I tell myself inside the story', 'we tell ourselves of to be an absolute', 'what we think in the moment', 'before it falls away into a deeper clearer calm of letting']",0.23,A_pron_x
Crime and delinquency arise in relation to the rules that label them as such and tend to be the result of the contextual relationships of individuals to society where the crime is a result of some far-back inequity in relation to the way things look/ed then/now. ,"['Crime and delinquency arise in relation to the rules', 'that label them as such and', 'tend to be the result of the contextual relationships of individuals to society', 'where the crime is a result of some far back inequity in relation to the way', 'things look ed then now']",0.26,A_def
I just can't stand people who stand people on just I and then I can't stand the people I am sometimes and when I stand as I and can't people myself out of the person I am. ,"['I just can t stand people', 'who stand people who on just I', 'and then I can t stand the people', 'I am sometimes', 'and when I stand as I and', 'can t people myself out of the person', 'I am']",0.34,A_def
Privacy is important to me as I feel many things are sacred and should be held close.,"['Privacy is important to me', 'as I feel', 'many things are sacred and', 'should be held close']",0.2,P_bevb_x
"for me seems to be tied to shame.  I used to be a very private person, but most of it was driven by shame and the fear of judgment.  I really don't feel the need to keep much private these days, and there are a few close people that I would share most any thing with; I might not volunteer it, but would share if asked or if it seemed appropriate.  It feels very liberating.  ","['for me seems to be tied to shame', 'I used to be a very private person but', 'most of it was driven by shame and', 'I really don t', 'the fear of judgment feel the need and', 'to keep much private these days', 'there are a few close people', 'that I would share most any thing with', 'I might not volunteer it but', 'would share', 'if asked or', 'if it seemed appropriate', 'It feels very liberating']",0.23,A_def
"seems like remembering a movie I once watched, one that I can have feelings about when remembered...and more feelings when there's something i haven't yet digested from the past","['seems like', 'remembering a movie', 'I once watched one', 'that I can have feelings about', 'when remembered and more feelings', 'when there s something', 'yet digested from the past']",0.32,A_def
"as I experience it now, often more demanding than I feel I am able to manage, given the actual Situation in politics in Europe and the tecnologically driven changes in all sectors of economy - nevertheless I enjoy discovery and try to find the best in all the changing Things around me. ","['as I experience it now often more demanding', 'than I feel', 'I am able to manage given the actual Situation in politics in Europe and the changes in all sectors of economy', 'tecnologically driven', 'nevertheless I enjoy discovery and', 'try to find the best in all the changing Things around me']",0.47,A_def
